beacon_id,ble_rssi_norm,distance_est_norm,zone
BLE_Beacon_03,0.1899,0.7677,Zone_D
BLE_Beacon_03,0.6265,0.0228,Zone_A
BLE_Beacon_07,0.3917,0.151,Zone_D
BLE_Beacon_07,0.1204,1.0,Zone_D
BLE_Beacon_07,0.7824,0.0065,Zone_A
BLE_Beacon_10,0.3703,0.1795,Zone_A
BLE_Beacon_06,0.3061,0.3012,Zone_D
BLE_Beacon_07,0.4943,0.0661,Zone_B
BLE_Beacon_08,0.2438,0.4973,Zone_D
BLE_Beacon_08,0.0942,1.0,Zone_C
BLE_Beacon_07,0.6404,0.0203,Zone_D
BLE_Beacon_03,0.842,0.004,Zone_A
BLE_Beacon_07,0.5365,0.047,Zone_A
BLE_Beacon_02,0.5764,0.0341,Zone_B
BLE_Beacon_08,0.2142,0.6313,Zone_C
BLE_Beacon_07,0.3286,0.2511,Zone_D
BLE_Beacon_06,0.3366,0.2354,Zone_D
BLE_Beacon_05,0.6623,0.0171,Zone_D
BLE_Beacon_05,0.7274,0.0101,Zone_D
BLE_Beacon_01,0.6599,0.0174,Zone_A
BLE_Beacon_06,0.2476,0.4824,Zone_A
BLE_Beacon_01,0.664,0.0168,Zone_B
BLE_Beacon_04,0.7308,0.0098,Zone_B
BLE_Beacon_04,0.1706,0.8972,Zone_A
BLE_Beacon_10,0.8161,0.0049,Zone_D
BLE_Beacon_05,0.674,0.0155,Zone_B
BLE_Beacon_10,0.5486,0.0427,Zone_A
BLE_Beacon_03,0.8294,0.0044,Zone_A
BLE_Beacon_10,0.0916,1.0,Zone_C
BLE_Beacon_10,0.6036,0.0274,Zone_D
BLE_Beacon_07,0.8112,0.0051,Zone_B
BLE_Beacon_02,0.5366,0.047,Zone_B
BLE_Beacon_02,0.6192,0.0241,Zone_C
BLE_Beacon_10,0.7043,0.0122,Zone_A
BLE_Beacon_06,0.49,0.0684,Zone_C
BLE_Beacon_02,0.469,0.081,Zone_C
BLE_Beacon_01,0.739,0.0092,Zone_D
BLE_Beacon_02,0.4121,0.1282,Zone_C
BLE_Beacon_08,0.6272,0.0226,Zone_D
BLE_Beacon_03,0.648,0.0191,Zone_C
BLE_Beacon_10,0.7064,0.012,Zone_D
BLE_Beacon_08,0.4137,0.1265,Zone_C
BLE_Beacon_06,0.7406,0.0091,Zone_A
BLE_Beacon_05,0.7641,0.0075,Zone_B
BLE_Beacon_08,0.5192,0.0541,Zone_D
BLE_Beacon_06,0.094,1.0,Zone_C
BLE_Beacon_03,0.4545,0.091,Zone_C
BLE_Beacon_05,0.3388,0.2312,Zone_C
BLE_Beacon_09,0.0794,1.0,Zone_B
BLE_Beacon_02,0.2611,0.4328,Zone_D
BLE_Beacon_08,0.5076,0.0593,Zone_B
BLE_Beacon_08,0.5789,0.0334,Zone_D
BLE_Beacon_08,0.6944,0.0132,Zone_A
BLE_Beacon_05,0.2455,0.4905,Zone_B
BLE_Beacon_05,0.5931,0.0298,Zone_C
BLE_Beacon_08,0.5063,0.06,Zone_C
BLE_Beacon_07,0.8545,0.0036,Zone_C
BLE_Beacon_06,0.6237,0.0233,Zone_C
BLE_Beacon_05,0.269,0.4061,Zone_A
BLE_Beacon_04,0.3194,0.2705,Zone_B
BLE_Beacon_04,0.2414,0.5069,Zone_D
BLE_Beacon_05,0.6407,0.0203,Zone_C
BLE_Beacon_02,0.7256,0.0102,Zone_C
BLE_Beacon_04,0.355,0.203,Zone_C
BLE_Beacon_01,0.6277,0.0225,Zone_B
BLE_Beacon_05,0.1072,1.0,Zone_A
BLE_Beacon_09,0.301,0.3138,Zone_B
BLE_Beacon_08,0.152,1.0,Zone_A
BLE_Beacon_10,0.2948,0.3297,Zone_D
BLE_Beacon_08,0.3391,0.2307,Zone_A
BLE_Beacon_05,0.8108,0.0052,Zone_D
BLE_Beacon_02,0.7174,0.0109,Zone_D
BLE_Beacon_08,0.1296,1.0,Zone_A
BLE_Beacon_03,0.1887,0.7757,Zone_C
BLE_Beacon_02,0.8524,0.0037,Zone_A
BLE_Beacon_09,0.6721,0.0158,Zone_B
BLE_Beacon_09,0.3703,0.1795,Zone_D
BLE_Beacon_05,0.7473,0.0086,Zone_D
BLE_Beacon_05,0.5182,0.0545,Zone_A
BLE_Beacon_10,0.8258,0.0046,Zone_A
BLE_Beacon_04,0.5629,0.038,Zone_C
BLE_Beacon_02,0.1948,0.7381,Zone_B
BLE_Beacon_09,0.1304,1.0,Zone_A
BLE_Beacon_07,0.4254,0.1151,Zone_D
BLE_Beacon_05,0.0971,1.0,Zone_C
BLE_Beacon_05,0.6238,0.0233,Zone_D
BLE_Beacon_02,0.6115,0.0257,Zone_C
BLE_Beacon_10,0.5909,0.0303,Zone_B
BLE_Beacon_07,0.1616,0.9646,Zone_B
BLE_Beacon_03,0.7852,0.0063,Zone_B
BLE_Beacon_02,0.1183,1.0,Zone_C
BLE_Beacon_10,0.6599,0.0174,Zone_C
BLE_Beacon_08,0.1691,0.9079,Zone_C
BLE_Beacon_07,0.8121,0.0051,Zone_D
BLE_Beacon_08,0.1346,1.0,Zone_A
BLE_Beacon_07,0.6486,0.0191,Zone_C
BLE_Beacon_01,0.1432,1.0,Zone_A
BLE_Beacon_05,0.5242,0.0519,Zone_B
BLE_Beacon_08,0.4792,0.0746,Zone_D
BLE_Beacon_05,0.214,0.6323,Zone_D
BLE_Beacon_08,0.8328,0.0043,Zone_D
BLE_Beacon_06,0.3923,0.1503,Zone_C
BLE_Beacon_02,0.7454,0.0087,Zone_C
BLE_Beacon_07,0.6165,0.0247,Zone_C
BLE_Beacon_07,0.7107,0.0116,Zone_A
BLE_Beacon_08,0.1406,1.0,Zone_C
BLE_Beacon_06,0.1625,0.9577,Zone_D
BLE_Beacon_09,0.7196,0.0108,Zone_A
BLE_Beacon_09,0.4344,0.107,Zone_A
BLE_Beacon_04,0.4788,0.0749,Zone_D
BLE_Beacon_08,0.6686,0.0162,Zone_B
BLE_Beacon_05,0.503,0.0616,Zone_C
BLE_Beacon_08,0.7635,0.0075,Zone_D
BLE_Beacon_02,0.0941,1.0,Zone_B
BLE_Beacon_03,0.3156,0.2789,Zone_A
BLE_Beacon_09,0.392,0.1507,Zone_B
BLE_Beacon_02,0.434,0.1074,Zone_A
BLE_Beacon_03,0.463,0.085,Zone_C
BLE_Beacon_09,0.6257,0.0229,Zone_D
BLE_Beacon_08,0.8416,0.004,Zone_B
BLE_Beacon_08,0.5046,0.0608,Zone_D
BLE_Beacon_04,0.7958,0.0058,Zone_B
BLE_Beacon_02,0.2885,0.347,Zone_D
BLE_Beacon_06,0.8055,0.0054,Zone_C
BLE_Beacon_01,0.2937,0.3328,Zone_C
BLE_Beacon_10,0.5271,0.0507,Zone_D
BLE_Beacon_03,0.4223,0.118,Zone_D
BLE_Beacon_06,0.3326,0.2431,Zone_D
BLE_Beacon_08,0.8044,0.0054,Zone_B
BLE_Beacon_04,0.5207,0.0534,Zone_B
BLE_Beacon_07,0.1057,1.0,Zone_D
BLE_Beacon_07,0.3748,0.1731,Zone_B
BLE_Beacon_08,0.8295,0.0044,Zone_B
BLE_Beacon_09,0.8299,0.0044,Zone_C
BLE_Beacon_02,0.7583,0.0079,Zone_D
BLE_Beacon_02,0.4847,0.0714,Zone_D
BLE_Beacon_01,0.6391,0.0206,Zone_D
BLE_Beacon_03,0.1302,1.0,Zone_C
BLE_Beacon_06,0.5611,0.0386,Zone_D
BLE_Beacon_02,0.7407,0.0091,Zone_D
BLE_Beacon_06,0.5639,0.0377,Zone_D
BLE_Beacon_09,0.0996,1.0,Zone_A
BLE_Beacon_04,0.5673,0.0367,Zone_C
BLE_Beacon_04,0.6582,0.0176,Zone_D
BLE_Beacon_02,0.6689,0.0162,Zone_A
BLE_Beacon_08,0.2021,0.6958,Zone_C
BLE_Beacon_01,0.1076,1.0,Zone_A
BLE_Beacon_05,0.3531,0.2062,Zone_D
BLE_Beacon_03,0.2633,0.4251,Zone_D
BLE_Beacon_10,0.6071,0.0266,Zone_B
BLE_Beacon_03,0.209,0.6585,Zone_D
BLE_Beacon_10,0.6082,0.0264,Zone_D
BLE_Beacon_10,0.1839,0.8062,Zone_D
BLE_Beacon_05,0.4325,0.1087,Zone_A
BLE_Beacon_08,0.7795,0.0066,Zone_B
BLE_Beacon_02,0.4185,0.1217,Zone_C
BLE_Beacon_10,0.3065,0.3001,Zone_D
BLE_Beacon_05,0.4304,0.1106,Zone_C
BLE_Beacon_04,0.8567,0.0036,Zone_D
BLE_Beacon_02,0.2578,0.4443,Zone_C
BLE_Beacon_10,0.3039,0.3064,Zone_C
BLE_Beacon_01,0.8398,0.0041,Zone_D
BLE_Beacon_05,0.0778,1.0,Zone_A
BLE_Beacon_10,0.6569,0.0178,Zone_C
BLE_Beacon_04,0.5484,0.0427,Zone_C
BLE_Beacon_04,0.5716,0.0354,Zone_C
BLE_Beacon_03,0.5651,0.0374,Zone_A
BLE_Beacon_05,0.6911,0.0135,Zone_A
BLE_Beacon_10,0.3581,0.198,Zone_B
BLE_Beacon_02,0.7861,0.0063,Zone_C
BLE_Beacon_07,0.2094,0.6561,Zone_B
BLE_Beacon_09,0.7601,0.0078,Zone_C
BLE_Beacon_09,0.4657,0.0832,Zone_C
BLE_Beacon_03,0.2733,0.392,Zone_D
BLE_Beacon_05,0.658,0.0177,Zone_C
BLE_Beacon_02,0.4394,0.1028,Zone_A
BLE_Beacon_03,0.664,0.0168,Zone_B
BLE_Beacon_07,0.8314,0.0044,Zone_C
BLE_Beacon_02,0.6927,0.0134,Zone_A
BLE_Beacon_05,0.493,0.0667,Zone_D
BLE_Beacon_06,0.6001,0.0282,Zone_C
BLE_Beacon_10,0.3708,0.1787,Zone_C
BLE_Beacon_02,0.6017,0.0278,Zone_D
BLE_Beacon_01,0.5582,0.0395,Zone_C
BLE_Beacon_10,0.2454,0.4912,Zone_A
BLE_Beacon_08,0.7859,0.0063,Zone_C
BLE_Beacon_07,0.1631,0.9531,Zone_A
BLE_Beacon_01,0.3106,0.2904,Zone_D
BLE_Beacon_02,0.1478,1.0,Zone_B
BLE_Beacon_07,0.4279,0.1128,Zone_D
BLE_Beacon_10,0.6546,0.0181,Zone_B
BLE_Beacon_07,0.586,0.0315,Zone_D
BLE_Beacon_10,0.3921,0.1506,Zone_C
BLE_Beacon_01,0.6138,0.0252,Zone_B
BLE_Beacon_08,0.4208,0.1194,Zone_B
BLE_Beacon_06,0.1495,1.0,Zone_C
BLE_Beacon_09,0.7799,0.0066,Zone_C
BLE_Beacon_01,0.3843,0.1604,Zone_B
BLE_Beacon_02,0.8171,0.0049,Zone_D
BLE_Beacon_02,0.5922,0.03,Zone_A
BLE_Beacon_01,0.6896,0.0137,Zone_B
BLE_Beacon_03,0.6898,0.0137,Zone_B
BLE_Beacon_02,0.7234,0.0104,Zone_B
BLE_Beacon_10,0.2411,0.5083,Zone_B
BLE_Beacon_06,0.6799,0.0148,Zone_A
BLE_Beacon_05,0.7459,0.0087,Zone_B
BLE_Beacon_03,0.4959,0.0652,Zone_B
BLE_Beacon_02,0.5908,0.0303,Zone_A
BLE_Beacon_03,0.0831,1.0,Zone_B
BLE_Beacon_10,0.3258,0.2568,Zone_B
BLE_Beacon_05,0.1126,1.0,Zone_D
BLE_Beacon_09,0.1607,0.9715,Zone_A
BLE_Beacon_08,0.4236,0.1167,Zone_C
BLE_Beacon_09,0.5379,0.0465,Zone_D
BLE_Beacon_09,0.2455,0.4906,Zone_A
BLE_Beacon_09,0.3084,0.2955,Zone_A
BLE_Beacon_01,0.856,0.0036,Zone_D
BLE_Beacon_07,0.6105,0.0259,Zone_D
BLE_Beacon_08,0.1292,1.0,Zone_A
BLE_Beacon_06,0.5494,0.0424,Zone_A
BLE_Beacon_03,0.2875,0.3497,Zone_C
BLE_Beacon_07,0.8529,0.0037,Zone_C
BLE_Beacon_08,0.4686,0.0812,Zone_D
BLE_Beacon_02,0.6946,0.0132,Zone_A
BLE_Beacon_09,0.6378,0.0208,Zone_B
BLE_Beacon_07,0.4262,0.1143,Zone_B
BLE_Beacon_07,0.3377,0.2333,Zone_D
BLE_Beacon_07,0.3983,0.1432,Zone_A
BLE_Beacon_06,0.4067,0.1338,Zone_C
BLE_Beacon_06,0.8207,0.0048,Zone_D
BLE_Beacon_02,0.1431,1.0,Zone_A
BLE_Beacon_02,0.4108,0.1295,Zone_C
BLE_Beacon_03,0.5086,0.0589,Zone_C
BLE_Beacon_02,0.3942,0.148,Zone_D
BLE_Beacon_01,0.8323,0.0043,Zone_C
BLE_Beacon_06,0.1528,1.0,Zone_B
BLE_Beacon_03,0.5874,0.0312,Zone_B
BLE_Beacon_02,0.3465,0.2174,Zone_C
BLE_Beacon_02,0.6706,0.016,Zone_B
BLE_Beacon_07,0.7355,0.0095,Zone_A
BLE_Beacon_10,0.8014,0.0056,Zone_C
BLE_Beacon_01,0.2132,0.6366,Zone_C
BLE_Beacon_06,0.3472,0.2161,Zone_B
BLE_Beacon_03,0.5164,0.0553,Zone_D
BLE_Beacon_02,0.1829,0.8125,Zone_A
BLE_Beacon_02,0.6577,0.0177,Zone_B
BLE_Beacon_07,0.4013,0.1398,Zone_C
BLE_Beacon_03,0.3622,0.1916,Zone_C
BLE_Beacon_10,0.5399,0.0457,Zone_A
BLE_Beacon_03,0.1951,0.7364,Zone_A
BLE_Beacon_02,0.2852,0.3562,Zone_D
BLE_Beacon_08,0.5484,0.0427,Zone_D
BLE_Beacon_05,0.2408,0.5095,Zone_A
BLE_Beacon_06,0.4092,0.1311,Zone_C
BLE_Beacon_10,0.4538,0.0916,Zone_C
BLE_Beacon_01,0.2447,0.4938,Zone_A
BLE_Beacon_01,0.232,0.5468,Zone_B
BLE_Beacon_03,0.6718,0.0158,Zone_C
BLE_Beacon_06,0.1657,0.9333,Zone_D
BLE_Beacon_07,0.2095,0.6559,Zone_D
BLE_Beacon_09,0.6243,0.0232,Zone_C
BLE_Beacon_02,0.3834,0.1615,Zone_A
BLE_Beacon_07,0.0862,1.0,Zone_A
BLE_Beacon_06,0.5238,0.0521,Zone_D
BLE_Beacon_07,0.2989,0.319,Zone_D
BLE_Beacon_01,0.8306,0.0044,Zone_B
BLE_Beacon_10,0.4329,0.1083,Zone_C
BLE_Beacon_02,0.4146,0.1256,Zone_A
BLE_Beacon_04,0.4137,0.1264,Zone_D
BLE_Beacon_09,0.1332,1.0,Zone_C
BLE_Beacon_06,0.2455,0.4905,Zone_B
BLE_Beacon_02,0.4725,0.0787,Zone_A
BLE_Beacon_09,0.4721,0.079,Zone_C
BLE_Beacon_06,0.6429,0.0199,Zone_B
BLE_Beacon_04,0.1522,1.0,Zone_C
BLE_Beacon_04,0.2077,0.6651,Zone_B
BLE_Beacon_02,0.2106,0.6499,Zone_D
BLE_Beacon_08,0.6642,0.0168,Zone_D
BLE_Beacon_10,0.5766,0.034,Zone_C
BLE_Beacon_06,0.19,0.7671,Zone_A
BLE_Beacon_08,0.4189,0.1213,Zone_C
BLE_Beacon_05,0.5361,0.0472,Zone_C
BLE_Beacon_09,0.1297,1.0,Zone_D
BLE_Beacon_08,0.101,1.0,Zone_C
BLE_Beacon_05,0.1317,1.0,Zone_A
BLE_Beacon_10,0.5382,0.0464,Zone_D
BLE_Beacon_08,0.5274,0.0506,Zone_A
BLE_Beacon_08,0.7857,0.0063,Zone_B
BLE_Beacon_06,0.5468,0.0433,Zone_B
BLE_Beacon_01,0.4254,0.1151,Zone_C
BLE_Beacon_02,0.4679,0.0818,Zone_B
BLE_Beacon_01,0.2661,0.4156,Zone_D
BLE_Beacon_08,0.4832,0.0722,Zone_B
BLE_Beacon_06,0.3644,0.1882,Zone_C
BLE_Beacon_07,0.3926,0.1499,Zone_C
BLE_Beacon_10,0.1126,1.0,Zone_C
BLE_Beacon_02,0.3305,0.2474,Zone_D
BLE_Beacon_05,0.2694,0.4046,Zone_B
BLE_Beacon_06,0.1355,1.0,Zone_B
BLE_Beacon_06,0.3152,0.2798,Zone_D
BLE_Beacon_03,0.539,0.0461,Zone_A
BLE_Beacon_05,0.5106,0.0579,Zone_C
BLE_Beacon_03,0.5979,0.0287,Zone_A
BLE_Beacon_07,0.471,0.0797,Zone_A
BLE_Beacon_06,0.3141,0.2822,Zone_B
BLE_Beacon_06,0.816,0.0049,Zone_D
BLE_Beacon_04,0.2494,0.4753,Zone_B
BLE_Beacon_03,0.1321,1.0,Zone_A
BLE_Beacon_09,0.6771,0.0151,Zone_A
BLE_Beacon_06,0.76,0.0078,Zone_B
BLE_Beacon_10,0.3674,0.1837,Zone_B
BLE_Beacon_03,0.7246,0.0103,Zone_B
BLE_Beacon_08,0.1058,1.0,Zone_C
BLE_Beacon_04,0.8332,0.0043,Zone_C
BLE_Beacon_08,0.2553,0.4534,Zone_B
BLE_Beacon_05,0.8301,0.0044,Zone_D
BLE_Beacon_04,0.3604,0.1943,Zone_D
BLE_Beacon_08,0.676,0.0153,Zone_D
BLE_Beacon_09,0.4859,0.0707,Zone_B
BLE_Beacon_04,0.701,0.0125,Zone_B
BLE_Beacon_05,0.1124,1.0,Zone_D
BLE_Beacon_06,0.5071,0.0596,Zone_A
BLE_Beacon_09,0.7402,0.0091,Zone_C
BLE_Beacon_02,0.671,0.0159,Zone_C
BLE_Beacon_08,0.7827,0.0065,Zone_B
BLE_Beacon_07,0.1435,1.0,Zone_B
BLE_Beacon_08,0.7665,0.0074,Zone_A
BLE_Beacon_07,0.1133,1.0,Zone_C
BLE_Beacon_04,0.3748,0.173,Zone_A
BLE_Beacon_06,0.2479,0.4814,Zone_C
BLE_Beacon_02,0.7308,0.0098,Zone_C
BLE_Beacon_03,0.1795,0.8348,Zone_C
BLE_Beacon_08,0.6183,0.0243,Zone_B
BLE_Beacon_08,0.4239,0.1165,Zone_A
BLE_Beacon_02,0.0864,1.0,Zone_B
BLE_Beacon_03,0.5026,0.0618,Zone_D
BLE_Beacon_02,0.6813,0.0146,Zone_B
BLE_Beacon_05,0.1672,0.9224,Zone_B
BLE_Beacon_07,0.5735,0.0349,Zone_D
BLE_Beacon_02,0.1585,0.9889,Zone_D
BLE_Beacon_10,0.4926,0.067,Zone_B
BLE_Beacon_03,0.3003,0.3155,Zone_A
BLE_Beacon_10,0.3486,0.2137,Zone_D
BLE_Beacon_03,0.5934,0.0297,Zone_A
BLE_Beacon_09,0.8372,0.0042,Zone_A
BLE_Beacon_09,0.4989,0.0636,Zone_A
BLE_Beacon_07,0.7576,0.0079,Zone_A
BLE_Beacon_07,0.8422,0.004,Zone_C
BLE_Beacon_01,0.352,0.208,Zone_A
BLE_Beacon_06,0.2609,0.4334,Zone_A
BLE_Beacon_10,0.6491,0.019,Zone_C
BLE_Beacon_03,0.1063,1.0,Zone_C
BLE_Beacon_03,0.7239,0.0104,Zone_D
BLE_Beacon_08,0.5678,0.0365,Zone_B
BLE_Beacon_02,0.634,0.0214,Zone_D
BLE_Beacon_01,0.302,0.3112,Zone_A
BLE_Beacon_04,0.7674,0.0073,Zone_C
BLE_Beacon_05,0.4764,0.0763,Zone_D
