accel_x_norm,accel_y_norm,accel_z_norm,gyro_mag_norm,activity_state
0.7789,0.7203,0.5245,0.0084,Micro_Vibration
0.2087,0.0266,0.8107,0.5861,Walking
0.7786,0.112,0.1279,0.5972,Stationary
0.2444,0.3773,0.4723,0.7028,Walking
0.7293,0.823,0.5961,0.9604,Tap_Pattern
0.9167,0.8823,0.6801,0.3918,Walking
0.1339,0.0579,0.3112,0.0709,Stationary
0.8708,0.6393,0.575,0.1089,Walking
0.2258,0.397,0.4773,0.8381,Micro_Vibration
0.7565,0.4073,0.1706,0.723,Micro_Vibration
0.6066,0.5059,0.0735,0.4513,Walking
0.3377,0.0767,0.2551,0.0365,Walking
0.1301,0.5361,0.9407,0.0429,Walking
0.6305,0.778,0.3375,0.4924,Tap_Pattern
0.4287,0.9663,0.7438,0.5193,Stationary
0.1165,0.1288,0.7803,0.018,Stationary
0.9438,0.8748,0.0554,0.8849,Walking
0.3906,0.8845,0.0884,0.8712,Stationary
0.3863,0.6849,0.0727,0.9403,Micro_Vibration
0.0999,0.1755,0.2186,0.8975,Walking
0.0521,0.4298,0.5503,0.4362,Stationary
0.4854,0.8474,0.4245,0.5614,Micro_Vibration
0.6212,0.9839,0.8314,0.2904,Stationary
0.1158,0.304,0.5545,0.7938,Tap_Pattern
0.7802,0.3426,0.2374,0.8628,Micro_Vibration
0.4075,0.212,0.6451,0.6145,Stationary
0.0534,0.667,0.4515,0.694,Stationary
0.5074,0.9932,0.5808,0.0648,Walking
0.2858,0.1818,0.0158,0.9954,Walking
0.5829,0.1656,0.7562,0.7062,Tap_Pattern
0.7666,0.5727,0.3759,0.7805,Walking
0.8303,0.6417,0.7595,0.746,Tap_Pattern
0.0897,0.5222,0.1452,0.7835,Tap_Pattern
0.6368,0.5688,0.1469,0.5653,Walking
0.0213,0.5004,0.3096,0.6188,Micro_Vibration
0.9533,0.8905,0.1084,0.8392,Micro_Vibration
0.2944,0.1413,0.9691,0.4042,Stationary
0.4078,0.6997,0.99,0.473,Tap_Pattern
0.6402,0.4572,0.4177,0.8916,Tap_Pattern
0.1739,0.2159,0.5617,0.9947,Micro_Vibration
0.52,0.2204,0.6701,0.6024,Walking
0.6502,0.8985,0.5202,0.6573,Stationary
0.836,0.9809,0.828,0.8973,Tap_Pattern
0.8873,0.1178,0.1425,0.6951,Tap_Pattern
0.3413,0.5493,0.849,0.1472,Walking
0.5445,0.1466,0.6609,0.0935,Tap_Pattern
0.5729,0.3447,0.6304,0.9235,Micro_Vibration
0.0149,0.4819,0.426,0.672,Micro_Vibration
0.7665,0.8072,0.3137,0.3369,Stationary
0.2519,0.192,0.267,0.5415,Micro_Vibration
0.5876,0.7731,0.8498,0.2719,Stationary
0.8546,0.8325,0.1642,0.7523,Stationary
0.0065,0.8522,0.4342,0.3907,Tap_Pattern
0.0626,0.0552,0.8337,0.7633,Micro_Vibration
0.0751,0.6683,0.8143,0.3348,Stationary
0.0479,0.0662,0.5278,0.6121,Walking
0.0801,0.6299,0.0732,0.7377,Stationary
0.4531,0.7737,0.8629,0.5218,Tap_Pattern
0.6421,0.627,0.0503,0.3684,Walking
0.2701,0.8957,0.4406,0.5988,Tap_Pattern
0.1623,0.7143,0.449,0.1397,Tap_Pattern
0.763,0.4116,0.13,0.1372,Stationary
0.5555,0.0921,0.8724,0.725,Tap_Pattern
0.9228,0.9231,0.982,0.5654,Stationary
0.7691,0.2635,0.3973,0.524,Walking
0.0672,0.1953,0.2027,0.2321,Micro_Vibration
0.9542,0.3142,0.7149,0.1712,Walking
0.9158,0.4013,0.4672,0.9272,Tap_Pattern
0.0106,0.8495,0.8991,0.1643,Stationary
0.0786,0.1634,0.3798,0.2189,Tap_Pattern
0.238,0.5133,0.6696,0.1324,Tap_Pattern
0.5461,0.9764,0.376,0.1904,Tap_Pattern
0.0743,0.6679,0.2967,0.2646,Stationary
0.726,0.1687,0.5788,0.0478,Tap_Pattern
0.294,0.043,0.8175,0.4312,Walking
0.9949,0.2365,0.2049,0.2501,Stationary
0.3984,0.5342,0.9277,0.905,Tap_Pattern
0.6673,0.1703,0.1866,0.014,Micro_Vibration
0.6391,0.8782,0.8943,0.589,Micro_Vibration
0.1023,0.1934,0.5194,0.9737,Micro_Vibration
0.5725,0.3401,0.8297,0.7844,Tap_Pattern
0.2339,0.426,0.8263,0.8747,Micro_Vibration
0.8766,0.8481,0.1772,0.6815,Walking
0.4084,0.3385,0.5724,0.4496,Stationary
0.4928,0.7028,0.5446,0.6367,Tap_Pattern
0.6807,0.9945,0.4536,0.7001,Tap_Pattern
0.8609,0.4965,0.9003,0.5183,Micro_Vibration
0.8601,0.0155,0.7645,0.3761,Micro_Vibration
0.0844,0.8407,0.1804,0.6292,Walking
0.6739,0.0862,0.3934,0.8735,Walking
0.0148,0.3351,0.9889,0.9371,Walking
0.4049,0.1503,0.0729,0.6513,Micro_Vibration
0.0728,0.5706,0.3274,0.3979,Tap_Pattern
0.755,0.9549,0.5575,0.5343,Walking
0.2352,0.6234,0.5419,0.7833,Stationary
0.9531,0.1269,0.9186,0.8509,Stationary
0.9514,0.6918,0.2298,0.8418,Tap_Pattern
0.975,0.5982,0.6914,0.5074,Walking
0.6484,0.2981,0.6056,0.8461,Stationary
0.6473,0.2836,0.4519,0.5457,Tap_Pattern
0.9624,0.7512,0.0358,0.6548,Stationary
0.3569,0.179,0.8952,0.4017,Tap_Pattern
0.4776,0.5393,0.9721,0.1868,Tap_Pattern
0.2749,0.7802,0.9635,0.0635,Tap_Pattern
0.4949,0.5322,0.3845,0.1499,Tap_Pattern
0.5058,0.7185,0.1539,0.8341,Walking
0.5161,0.1962,0.9942,0.0382,Walking
0.6816,0.0007,0.6435,0.6823,Micro_Vibration
0.3687,0.6955,0.883,0.6636,Walking
0.7556,0.3902,0.7277,0.3319,Tap_Pattern
0.5692,0.0306,0.1248,0.2796,Micro_Vibration
0.7784,0.3426,0.3745,0.2512,Tap_Pattern
0.4607,0.3941,0.1404,0.8265,Walking
0.1857,0.2466,0.9516,0.6835,Walking
0.7895,0.8303,0.2222,0.9406,Stationary
0.3402,0.1644,0.0796,0.6805,Walking
0.1866,0.7615,0.7224,0.9322,Micro_Vibration
0.914,0.3434,0.1677,0.5754,Tap_Pattern
0.9461,0.2217,0.6946,0.3433,Walking
0.1022,0.8605,0.9396,0.1062,Tap_Pattern
0.3692,0.0257,0.6458,0.5189,Tap_Pattern
0.9496,0.5587,0.0156,0.3204,Tap_Pattern
0.773,0.2873,0.2617,0.0076,Walking
0.6281,0.12,0.6754,0.5123,Stationary
0.9263,0.1132,0.4812,0.4842,Stationary
0.1991,0.833,0.3336,0.236,Stationary
0.086,0.3642,0.3945,0.0882,Walking
0.4537,0.3268,0.3278,0.1072,Micro_Vibration
0.3661,0.8861,0.8175,0.4759,Stationary
0.2381,0.4263,0.8516,0.0458,Walking
0.9527,0.1497,0.8643,0.8024,Walking
0.9504,0.7925,0.0352,0.3539,Tap_Pattern
0.3829,0.5292,0.9976,0.6961,Tap_Pattern
0.5615,0.6051,0.8349,0.7578,Stationary
0.2717,0.1298,0.8447,0.5268,Walking
0.4022,0.8902,0.9352,0.5574,Tap_Pattern
0.4161,0.9555,0.864,0.5836,Tap_Pattern
0.7923,0.4498,0.4422,0.2987,Micro_Vibration
0.1382,0.7061,0.5102,0.9832,Walking
0.5413,0.3395,0.5883,0.9645,Walking
0.7876,0.8416,0.288,0.502,Walking
0.958,0.9105,0.9676,0.8124,Tap_Pattern
0.9854,0.0254,0.9326,0.0063,Stationary
0.0429,0.8016,0.3725,0.2296,Micro_Vibration
0.0727,0.2364,0.6427,0.8258,Stationary
0.7993,0.8685,0.0692,0.0056,Walking
0.4805,0.5218,0.6334,0.4257,Micro_Vibration
0.682,0.2839,0.2844,0.5198,Tap_Pattern
0.3858,0.62,0.7167,0.1441,Micro_Vibration
0.4231,0.8989,0.7888,0.7194,Walking
0.6431,0.1497,0.0064,0.3663,Micro_Vibration
0.9192,0.2879,0.9497,0.0696,Micro_Vibration
0.8054,0.1729,0.5434,0.8164,Micro_Vibration
0.1904,0.0629,0.2002,0.1432,Stationary
0.6269,0.6241,0.059,0.7383,Stationary
0.5196,0.4154,0.4895,0.204,Tap_Pattern
0.345,0.5325,0.7669,0.404,Stationary
0.6652,0.1769,0.1807,0.3501,Tap_Pattern
0.3208,0.7468,0.3632,0.6277,Tap_Pattern
0.1357,0.1548,0.5712,0.0327,Micro_Vibration
0.6186,0.5109,0.7755,0.6698,Tap_Pattern
0.3824,0.6577,0.2411,0.1022,Stationary
0.5494,0.1817,0.4395,0.1209,Tap_Pattern
0.1755,0.4572,0.2151,0.4429,Micro_Vibration
0.9258,0.6554,0.9666,0.9567,Stationary
0.3258,0.1725,0.5766,0.5669,Micro_Vibration
0.741,0.8816,0.9553,0.7328,Walking
0.6572,0.5852,0.6404,0.2363,Micro_Vibration
0.2365,0.1666,0.6533,0.7025,Micro_Vibration
0.7894,0.8557,0.5402,0.3202,Walking
0.2668,0.1222,0.7248,0.463,Tap_Pattern
0.2189,0.8082,0.2898,0.9419,Walking
0.261,0.2539,0.8108,0.7749,Stationary
0.1805,0.4468,0.8249,0.8606,Tap_Pattern
0.0027,0.571,0.4401,0.1621,Walking
0.2465,0.9011,0.4685,0.527,Tap_Pattern
0.7188,0.2142,0.7079,0.8175,Micro_Vibration
0.5796,0.5583,0.915,0.243,Micro_Vibration
0.0281,0.6752,0.9721,0.1347,Walking
0.3971,0.7906,0.863,0.548,Micro_Vibration
0.0377,0.0445,0.761,0.4889,Tap_Pattern
0.5186,0.5059,0.5689,0.3493,Micro_Vibration
0.6933,0.722,0.8785,0.6673,Walking
0.1847,0.6374,0.3943,0.0609,Stationary
0.202,0.2781,0.3021,0.9225,Stationary
0.8147,0.8552,0.5739,0.1095,Stationary
0.3469,0.8718,0.9541,0.872,Stationary
0.0228,0.1492,0.5772,0.7792,Walking
0.664,0.0925,0.1988,0.2772,Micro_Vibration
0.0567,0.8232,0.9117,0.5765,Tap_Pattern
0.0826,0.6868,0.4999,0.6087,Stationary
0.1452,0.0484,0.1509,0.1518,Micro_Vibration
0.1574,0.8667,0.924,0.9601,Tap_Pattern
0.4666,0.6602,0.0535,0.6058,Stationary
0.1159,0.3826,0.1045,0.9133,Stationary
0.121,0.7217,0.4465,0.723,Tap_Pattern
0.9324,0.198,0.623,0.7297,Stationary
0.2936,0.1924,0.3803,0.2084,Stationary
0.6603,0.4553,0.8769,0.8113,Stationary
0.1496,0.785,0.1761,0.0901,Stationary
0.7898,0.683,0.6253,0.1406,Walking
0.8598,0.5764,0.3266,0.1346,Walking
0.3756,0.0171,0.8232,0.1937,Walking
0.9946,0.35,0.3805,0.791,Stationary
0.8054,0.2146,0.667,0.5962,Micro_Vibration
0.7792,0.5835,0.8235,0.7764,Micro_Vibration
0.9689,0.1187,0.2755,0.4239,Walking
0.5497,0.5396,0.3874,0.7626,Micro_Vibration
0.212,0.027,0.9415,0.8881,Micro_Vibration
0.0256,0.9901,0.9302,0.4225,Walking
0.6143,0.4793,0.5575,0.2779,Micro_Vibration
0.5991,0.0615,0.7188,0.964,Tap_Pattern
0.4262,0.5908,0.4123,0.13,Walking
0.531,0.9452,0.107,0.3194,Micro_Vibration
0.8278,0.6844,0.642,0.2218,Walking
0.0324,0.0586,0.0169,0.3632,Tap_Pattern
0.9566,0.5644,0.7684,0.4515,Tap_Pattern
0.893,0.3083,0.0649,0.4428,Walking
0.372,0.4252,0.1725,0.2461,Tap_Pattern
0.8416,0.1369,0.8101,0.4617,Stationary
0.1106,0.5549,0.7692,0.7973,Stationary
0.0387,0.0266,0.9115,0.7925,Micro_Vibration
0.1004,0.3986,0.7634,0.09,Micro_Vibration
0.4238,0.0426,0.0131,0.0974,Walking
0.4478,0.1481,0.0305,0.7198,Walking
0.7043,0.4635,0.1955,0.0425,Tap_Pattern
0.1017,0.0539,0.7126,0.3321,Stationary
0.813,0.2877,0.97,0.9539,Tap_Pattern
0.3002,0.801,0.175,0.7041,Stationary
0.0174,0.4351,0.3489,0.8594,Walking
0.4468,0.7034,0.5962,0.4962,Micro_Vibration
0.1205,0.0055,0.199,0.6711,Micro_Vibration
0.607,0.1566,0.8099,0.9387,Walking
0.8383,0.8896,0.4368,0.1489,Walking
0.5851,0.5246,0.8307,0.6995,Tap_Pattern
0.019,0.0576,0.266,0.4148,Stationary
0.3106,0.3303,0.5893,0.7551,Stationary
0.0506,0.5885,0.6665,0.1243,Walking
0.0374,0.749,0.2627,0.236,Stationary
0.8205,0.5629,0.6999,0.7075,Walking
0.5742,0.315,0.6677,0.7077,Walking
0.7845,0.0423,0.6106,0.5018,Walking
0.6466,0.5979,0.4969,0.9126,Tap_Pattern
0.6389,0.648,0.1987,0.5903,Stationary
0.8137,0.3822,0.5565,0.2926,Tap_Pattern
0.9081,0.9555,0.1484,0.485,Stationary
0.485,0.571,0.2482,0.8309,Walking
0.4369,0.2109,0.6889,0.5154,Walking
0.5829,0.912,0.9957,0.4461,Stationary
0.067,0.8225,0.2641,0.8834,Micro_Vibration
0.0263,0.4673,0.5156,0.8198,Micro_Vibration
0.1057,0.4107,0.841,0.6608,Stationary
0.6308,0.6604,0.2595,0.8496,Stationary
0.2352,0.6843,0.7509,0.5716,Tap_Pattern
0.9008,0.8974,0.0835,0.4445,Stationary
0.731,0.5375,0.626,0.9646,Stationary
0.8153,0.8514,0.9705,0.9281,Walking
0.3041,0.1382,0.7578,0.4513,Walking
0.5219,0.7374,0.2331,0.9829,Walking
0.4377,0.0115,0.1726,0.8119,Walking
0.5401,0.4188,0.3202,0.6666,Micro_Vibration
0.8421,0.3802,0.0851,0.5957,Stationary
0.7646,0.668,0.9341,0.5109,Tap_Pattern
0.6743,0.5904,0.7915,0.5999,Tap_Pattern
0.5597,0.5047,0.4634,0.7522,Tap_Pattern
0.6646,0.05,0.0431,0.3546,Stationary
0.2587,0.7905,0.7901,0.4235,Walking
0.4271,0.4944,0.5518,0.2481,Tap_Pattern
0.2841,0.8938,0.6909,0.5582,Walking
0.7229,0.354,0.779,0.4602,Tap_Pattern
0.1817,0.64,0.8848,0.9262,Walking
0.8351,0.3763,0.5468,0.7204,Tap_Pattern
0.0256,0.4531,0.3124,0.0648,Stationary
0.1529,0.338,0.3859,0.1598,Walking
0.58,0.2432,0.6303,0.2752,Micro_Vibration
0.0003,0.9677,0.9602,0.7787,Walking
0.5346,0.5327,0.5018,0.6141,Tap_Pattern
0.1375,0.2585,0.4795,0.9906,Tap_Pattern
0.6019,0.0681,0.0221,0.833,Stationary
0.2999,0.2145,0.8297,0.5865,Micro_Vibration
0.3577,0.7555,0.5997,0.8149,Micro_Vibration
0.7147,0.108,0.2133,0.7197,Stationary
0.3417,0.981,0.0438,0.2545,Stationary
0.4006,0.7798,0.7003,0.91,Walking
0.9064,0.2784,0.3021,0.1446,Stationary
0.6163,0.4289,0.6503,0.873,Walking
0.2736,0.7877,0.4164,0.8451,Tap_Pattern
0.7556,0.4842,0.9116,0.7475,Micro_Vibration
0.7002,0.5945,0.5732,0.5466,Stationary
0.5467,0.9564,0.7295,0.8663,Tap_Pattern
0.8333,0.1455,0.2715,0.4429,Tap_Pattern
0.517,0.9953,0.7873,0.8397,Micro_Vibration
0.9191,0.6266,0.9472,0.5459,Micro_Vibration
0.6989,0.5818,0.6965,0.5496,Walking
0.9303,0.3812,0.3124,0.8925,Stationary
0.3273,0.5884,0.9789,0.8036,Stationary
0.1106,0.6137,0.7224,0.6795,Stationary
0.8448,0.781,0.9947,0.2464,Tap_Pattern
0.8892,0.0445,0.1134,0.4745,Tap_Pattern
0.6828,0.0619,0.8325,0.5378,Tap_Pattern
0.2071,0.3144,0.4108,0.7094,Micro_Vibration
0.1,0.5793,0.3277,0.5995,Tap_Pattern
0.4855,0.0492,0.5941,0.6513,Walking
0.807,0.2987,0.9713,0.2502,Stationary
0.2933,0.3763,0.375,0.8652,Tap_Pattern
0.4313,0.4105,0.3269,0.4358,Micro_Vibration
0.0144,0.7905,0.3107,0.4236,Walking
0.49,0.4431,0.5375,0.0292,Tap_Pattern
0.7825,0.3085,0.3189,0.2207,Stationary
0.4252,0.2425,0.7822,0.2581,Tap_Pattern
0.8759,0.7833,0.8543,0.1843,Tap_Pattern
0.3365,0.2892,0.1084,0.6326,Walking
0.2289,0.0537,0.6948,0.6753,Micro_Vibration
0.8556,0.1184,0.1522,0.181,Tap_Pattern
0.4282,0.8814,0.6939,0.4739,Tap_Pattern
0.1343,0.316,0.0673,0.0277,Stationary
0.1769,0.7091,0.0999,0.3725,Walking
0.5334,0.5171,0.3882,0.06,Stationary
0.1083,0.5888,0.982,0.4812,Tap_Pattern
0.9916,0.1279,0.8746,0.1729,Walking
0.4441,0.7856,0.0136,0.8019,Tap_Pattern
0.1349,0.7183,0.7925,0.8527,Tap_Pattern
0.0761,0.7304,0.9195,0.0535,Walking
0.2288,0.7597,0.4787,0.228,Walking
0.6964,0.7295,0.8664,0.5323,Tap_Pattern
0.5541,0.9737,0.6356,0.3685,Walking
0.948,0.1748,0.1279,0.6717,Micro_Vibration
0.5035,0.8786,0.362,0.7524,Walking
0.0471,0.6758,0.4292,0.3055,Walking
0.2852,0.4672,0.7398,0.8699,Stationary
0.1114,0.9445,0.1542,0.7129,Tap_Pattern
0.2855,0.5373,0.7653,0.731,Tap_Pattern
0.6822,0.6208,0.8156,0.0849,Tap_Pattern
0.9012,0.3981,0.2063,0.6645,Micro_Vibration
0.4893,0.0307,0.8676,0.5551,Tap_Pattern
0.6851,0.8196,0.8977,0.3536,Stationary
0.6551,0.0608,0.8468,0.6067,Tap_Pattern
0.9623,0.8267,0.2549,0.7148,Micro_Vibration
0.0332,0.6089,0.7928,0.2295,Micro_Vibration
0.2668,0.8938,0.331,0.2295,Walking
0.0118,0.8578,0.8632,0.7878,Stationary
0.5147,0.7152,0.3963,0.4742,Walking
0.5142,0.067,0.425,0.9889,Walking
0.2541,0.9168,0.9555,0.2617,Tap_Pattern
0.0535,0.5317,0.8194,0.879,Stationary
0.4751,0.6195,0.4503,0.7843,Stationary
0.0156,0.6862,0.7557,0.8005,Walking
0.2409,0.5958,0.1471,0.4565,Walking
0.8741,0.7353,0.8039,0.5679,Tap_Pattern
0.9882,0.5277,0.7764,0.8848,Stationary
0.3061,0.9853,0.4812,0.7031,Tap_Pattern
0.1047,0.8397,0.681,0.2538,Micro_Vibration
0.0364,0.0895,0.7289,0.5982,Tap_Pattern
0.7105,0.175,0.1322,0.2037,Micro_Vibration
0.5924,0.1627,0.2355,0.568,Stationary
0.1509,0.1127,0.6461,0.5497,Stationary
0.3919,0.8169,0.9437,0.5666,Micro_Vibration
0.5171,0.5147,0.0494,0.5781,Micro_Vibration
0.1678,0.1211,0.8162,0.0149,Micro_Vibration
0.1757,0.0021,0.063,0.522,Tap_Pattern
0.434,0.1146,0.91,0.5079,Tap_Pattern
0.7149,0.1217,0.5477,0.8178,Micro_Vibration
0.3727,0.7969,0.2888,0.9173,Micro_Vibration
0.8977,0.2894,0.3193,0.244,Stationary
0.5896,0.7551,0.7862,0.2764,Micro_Vibration
0.195,0.3093,0.8664,0.5887,Stationary
0.0349,0.1986,0.7731,0.0169,Tap_Pattern
0.916,0.0035,0.8174,0.2789,Walking
0.9525,0.5883,0.4375,0.0745,Stationary
0.9029,0.0461,0.4329,0.8969,Tap_Pattern
0.4221,0.092,0.013,0.6473,Walking
0.2991,0.0865,0.0903,0.8407,Micro_Vibration
0.9868,0.0016,0.447,0.3239,Tap_Pattern
0.6141,0.9224,0.5915,0.7724,Tap_Pattern
0.042,0.6152,0.3673,0.5617,Micro_Vibration
0.4299,0.5482,0.2942,0.1408,Tap_Pattern
